200 PA4-B-Output.txt
   16.10    23.17    22.27		   16.10    23.17    22.27	   0.001
   -6.56     9.13    59.85		   -6.56     9.13    59.85	   0.001
   -5.81   -24.60   -35.03		   -5.81   -24.60   -35.03	   0.003
  -35.24   -16.54    -9.48		  -35.24   -16.54    -9.48	     0.0
   -4.13    16.17    46.96		   -4.13    16.17    46.96	   0.002
  -34.40   -21.21   -41.06		  -34.40   -21.21   -41.06	   0.001
  -21.94     4.49   -42.80		  -21.94     4.49   -42.80	     0.0
  -32.17     3.89   -14.21		  -32.17     3.88   -14.21	   0.003
   -3.82    12.02    62.19		   -3.82    12.02    62.19	   0.003
   -8.35   -19.42    -8.55		   -8.35   -19.43    -8.55	   0.004
   17.41     2.84   -22.45		   17.41     2.84   -22.45	   0.003
   -7.65   -27.92   -29.24		   -7.65   -27.93   -29.24	   0.003
    2.25    -7.02    62.77		    2.25    -7.02    62.77	     0.0
    8.83    21.89    34.68		    8.83    21.88    34.68	   0.004
  -12.04   -26.31   -39.83		  -12.04   -26.31   -39.83	   0.002
   -8.79    -7.59   -45.70		   -8.79    -7.59   -45.70	   0.002
   -9.37    -1.66    19.32		   -9.37    -1.66    19.32	   0.001
   -4.73    23.95    31.18		   -4.73    23.95    31.18	     0.0
  -21.81    -5.01   -48.03		  -21.81    -5.01   -48.03	     0.0
   -2.18    15.28     4.84		   -2.18    15.29     4.84	     0.0
   -1.46   -10.91    11.44		   -1.46   -10.91    11.44	   0.001
  -10.80   -23.41   -11.66		  -10.80   -23.41   -11.66	   0.001
    6.76   -11.05   -22.52		    6.76   -11.05   -22.52	   0.002
   37.06     6.35   -13.65		   37.07     6.35   -13.65	   0.001
   29.85    21.10     1.91		   29.85    21.10     1.91	   0.002
  -39.98   -20.23   -18.56		  -39.98   -20.23   -18.56	   0.003
   27.61     8.15    25.41		   27.61     8.15    25.41	   0.003
    6.11    19.59    -4.05		    6.12    19.59    -4.05	   0.004
   -4.95     5.84   -24.12		   -4.95     5.84   -24.12	   0.003
   -2.48    -4.78   -31.53		   -2.48    -4.78   -31.53	   0.001
  -17.44    -3.40   -47.45		  -17.44    -3.40   -47.45	   0.002
   -7.13     1.02    32.96		   -7.13     1.02    32.96	   0.002
   23.36    11.71    40.74		   23.36    11.71    40.74	   0.001
   17.40    27.07    -0.55		   17.40    27.07    -0.55	   0.002
   17.15   -14.86   -16.26		   17.15   -14.86   -16.26	   0.002
   16.36    26.91     3.67		   16.36    26.91     3.67	   0.001
   -2.37   -22.30   -18.66		   -2.38   -22.29   -18.66	   0.003
  -23.52   -21.72   -45.51		  -23.52   -21.72   -45.51	   0.002
   21.62     7.28   -29.47		   21.62     7.28   -29.47	   0.003
   27.05     5.65    27.91		   27.05     5.65    27.91	   0.003
  -34.08     6.75   -20.77		  -34.08     6.75   -20.77	   0.003
   -5.48   -18.88   -40.63		   -5.48   -18.88   -40.62	   0.003
  -36.96   -13.91   -43.01		  -36.96   -13.91   -43.01	   0.003
   -7.57   -19.50    -8.98		   -7.57   -19.50    -8.98	     0.0
  -42.73    -9.88   -18.87		  -42.73    -9.88   -18.87	   0.002
  -12.41   -20.60    -9.11		  -12.41   -20.60    -9.11	     0.0
   -8.19    16.77    13.70		   -8.19    16.77    13.70	   0.001
  -43.33    -7.45   -29.26		  -43.33    -7.45   -29.26	   0.002
   40.03     3.58    -7.46		   40.03     3.58    -7.46	   0.002
  -39.30     0.76   -18.56		  -39.29     0.76   -18.56	   0.003
  -30.04     3.65   -40.97		  -30.04     3.65   -40.97	   0.004
  -13.79   -28.33   -37.99		  -13.79   -28.33   -37.99	   0.001
    3.56    -4.28   -24.64		    3.56    -4.28   -24.64	   0.001
   18.02    -4.68    37.20		   18.02    -4.67    37.20	   0.003
    9.75    18.76    61.66		    9.75    18.76    61.66	   0.001
  -10.20     8.45   -28.48		  -10.20     8.45   -28.48	   0.002
   38.39     1.50   -12.44		   38.39     1.50   -12.44	   0.001
   16.31    -7.05    18.57		   16.31    -7.05    18.57	     0.0
   34.66    14.91     7.77		   34.66    14.91     7.77	   0.002
   31.08    13.47    14.08		   31.08    13.47    14.08	   0.001
   32.86    -5.92   -21.11		   32.86    -5.92   -21.11	   0.001
   32.99    14.85   -18.50		   32.99    14.86   -18.50	   0.006
   27.69    22.18     6.99		   27.69    22.18     6.99	   0.002
   -5.84    -4.51    31.26		   -5.84    -4.51    31.26	   0.001
   36.67    -1.67     8.84		   36.67    -1.67     8.84	   0.001
   -5.67   -18.22    -8.58		   -5.67   -18.23    -8.58	   0.003
   -3.46    17.59     9.71		   -3.46    17.59     9.71	   0.002
   -6.24    -2.50    34.64		   -6.24    -2.50    34.64	   0.001
  -20.95     0.54    -8.49		  -20.95     0.54    -8.49	   0.001
   21.68    25.18     5.63		   21.68    25.18     5.63	   0.001
   30.23     1.56   -28.27		   30.23     1.56   -28.27	     0.0
   -7.22   -20.60   -41.47		   -7.21   -20.61   -41.47	   0.003
   15.88    22.69    27.41		   15.88    22.69    27.41	     0.0
   31.48     7.45    16.71		   31.47     7.45    16.71	     0.0
   28.73    21.79   -14.18		   28.73    21.79   -14.18	   0.003
   32.61    18.03    -4.90		   32.61    18.03    -4.90	   0.002
   13.19    -6.58    25.71		   13.19    -6.57    25.71	   0.003
   -5.58     5.38   -26.01		   -5.58     5.37   -26.01	   0.002
   -4.94    18.49    12.03		   -4.94    18.49    12.03	   0.001
   21.54    24.12   -23.23		   21.55    24.12   -23.23	   0.003
    1.99   -10.88    13.34		    1.99   -10.88    13.34	   0.002
   20.50    14.88    48.77		   20.50    14.88    48.77	   0.001
   28.51   -10.11    -1.22		   28.52   -10.12    -1.22	   0.005
   16.42    -6.46    23.03		   16.42    -6.46    23.03	   0.001
   -5.04    -6.38    26.21		   -5.03    -6.38    26.21	   0.005
   -7.16     2.37    33.54		   -7.16     2.37    33.54	   0.001
  -13.15   -14.60   -47.35		  -13.15   -14.60   -47.35	   0.002
   35.10    15.09    -3.81		   35.10    15.09    -3.81	   0.003
  -31.44     8.15   -32.63		  -31.45     8.15   -32.63	   0.003
    3.91    12.22    -7.88		    3.91    12.21    -7.88	   0.005
   21.33    24.80   -20.54		   21.33    24.80   -20.54	   0.001
  -25.34     7.76   -38.54		  -25.34     7.76   -38.54	     0.0
    3.79    18.35    -0.43		    3.79    18.35    -0.43	   0.002
  -32.89   -17.12    -8.66		  -32.89   -17.12    -8.66	   0.001
    5.99    20.38    44.94		    5.99    20.38    44.94	     0.0
    0.52   -15.45    -4.79		    0.52   -15.45    -4.79	   0.001
  -21.17     6.80   -40.32		  -21.17     6.80   -40.32	   0.001
   33.63    -5.27    -5.14		   33.63    -5.27    -5.14	   0.002
   19.86   -11.11     2.38		   19.86   -11.11     2.38	   0.001
    2.64   -10.23    16.44		    2.64   -10.22    16.44	   0.004
  -41.12   -18.72   -20.37		  -41.12   -18.72   -20.37	   0.001
  -43.13   -14.76   -23.21		  -43.13   -14.76   -23.21	   0.002
   24.17     6.99    39.98		   24.17     6.99    39.98	   0.003
   36.44    11.12   -11.99		   36.44    11.12   -11.99	   0.001
  -24.03   -32.50   -22.98		  -24.03   -32.49   -22.98	   0.003
  -30.40   -26.70   -38.97		  -30.40   -26.69   -38.97	   0.001
  -18.18     0.32   -46.13		  -18.18     0.32   -46.13	   0.001
   34.70    10.69    10.67		   34.70    10.69    10.67	     0.0
   19.13    17.92    43.48		   19.13    17.92    43.48	     0.0
   28.91    -3.92   -26.05		   28.91    -3.92   -26.05	   0.002
  -19.51     7.05   -15.46		  -19.51     7.05   -15.46	   0.001
    1.48    -9.50    20.76		    1.48    -9.50    20.76	   0.001
    0.06    24.00    23.60		    0.06    24.00    23.60	   0.004
  -32.57    -4.33   -44.81		  -32.57    -4.33   -44.81	   0.001
   10.32    19.42   -11.58		   10.32    19.42   -11.58	     0.0
   12.05   -13.10   -17.71		   12.05   -13.10   -17.71	   0.002
  -35.51    -3.49   -11.26		  -35.51    -3.49   -11.26	   0.001
   33.85    -5.47     1.35		   33.85    -5.47     1.35	   0.002
  -21.34    -3.70   -47.64		  -21.34    -3.70   -47.64	     0.0
   27.18    22.81   -14.30		   27.18    22.81   -14.30	   0.001
   -5.02    13.17    51.45		   -5.02    13.17    51.45	   0.001
  -38.87    -1.52   -37.62		  -38.87    -1.52   -37.62	   0.002
   22.93    -0.24   -27.09		   22.93    -0.24   -27.09	     0.0
   -6.64     2.34    39.81		   -6.64     2.34    39.81	   0.002
  -27.03   -24.66   -42.88		  -27.03   -24.66   -42.88	   0.003
   -2.89   -11.15   -39.68		   -2.89   -11.15   -39.68	   0.001
  -39.67   -19.56   -33.82		  -39.67   -19.56   -33.82	   0.001
   35.85     6.04   -19.01		   35.85     6.04   -19.01	     0.0
   29.89    17.68    11.95		   29.89    17.68    11.95	     0.0
   19.95     0.23    56.64		   19.95     0.23    56.64	     0.0
   -7.00     5.08    55.66		   -7.00     5.08    55.66	   0.004
   11.04    12.46    63.14		   11.04    12.46    63.14	   0.001
  -13.76   -23.99   -10.30		  -13.76   -24.00   -10.29	   0.003
    9.12    -7.84   -22.09		    9.12    -7.84   -22.09	   0.002
   -4.01    16.86     9.72		   -4.01    16.86     9.72	   0.001
   34.41    -5.93   -15.63		   34.41    -5.94   -15.63	   0.004
   31.24    17.11   -19.92		   31.24    17.11   -19.92	     0.0
  -32.92     7.61   -20.68		  -32.92     7.61   -20.68	   0.002
  -33.37     4.56   -37.63		  -33.37     4.56   -37.63	   0.001
    3.71    -7.40    61.25		    3.71    -7.40    61.25	   0.001
   -3.95   -18.39   -39.01		   -3.96   -18.39   -39.01	   0.002
    2.06     5.87   -19.04		    2.06     5.87   -19.04	   0.001
    7.96     3.92   -18.31		    7.96     3.92   -18.31	     0.0
  -14.22    21.44    29.65		  -14.22    21.44    29.65	     0.0
   31.53    -7.41   -21.53		   31.53    -7.40   -21.53	   0.005
   -9.22     8.82     5.59		   -9.22     8.82     5.59	   0.001
   22.82     4.12    45.72		   22.82     4.12    45.72	   0.002
  -26.72     3.41   -42.84		  -26.72     3.41   -42.84	   0.002
   21.76   -10.93   -21.62		   21.76   -10.92   -21.62	   0.002
  -22.37     5.95   -41.37		  -22.37     5.95   -41.37	     0.0
    4.18     8.31    63.41		    4.18     8.31    63.41	     0.0
   -7.31    18.91    13.74		   -7.31    18.91    13.74	     0.0
  -43.57    -6.27   -26.32		  -43.57    -6.27   -26.32	   0.003
   39.08     9.85    -1.68		   39.07     9.85    -1.68	   0.001
   -9.30   -10.84     2.88		   -9.30   -10.84     2.88	     0.0
   -5.53    -4.36    32.52		   -5.53    -4.36    32.52	   0.001
   -5.38    -4.17    33.20		   -5.38    -4.17    33.20	     0.0
   15.49    -3.26   -22.24		   15.49    -3.26   -22.24	   0.001
  -39.91   -14.08   -35.98		  -39.91   -14.08   -35.98	     0.0
    7.24    15.47    -8.26		    7.24    15.47    -8.26	   0.001
   -5.55    -6.39   -42.30		   -5.55    -6.39   -42.30	   0.003
   21.48    14.08    45.81		   21.48    14.08    45.81	   0.003
   29.60    -8.15     4.21		   29.60    -8.15     4.21	     0.0
   -6.59   -25.78   -33.91		   -6.59   -25.78   -33.91	   0.001
